year,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort,projectname_Y,projectname_de,projectname_erb,projectname_gal,projectname_hst,projectname_slp,projectname_spl,cat2_application_ground,cat2_avionicsmonitoring,cat2_batchdataprocessing,cat2_communications,cat2_datacapture,cat2_launchprocessing,cat2_missionplanning,cat2_monitor_control,cat2_operatingsystem,cat2_realdataprocessing,cat2_science,cat2_simulation,cat2_utility,forg_g,center_2,center_3,center_5,center_6,mode_organic,mode_semidetached
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,25.9,117.6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,24.6,117.6,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,7.7,31.2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,8.2,36.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,9.7,25.2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,2.2,8.4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1979.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,3.5,10.8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1982.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,66.6,352.8,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1980.0,3,1,3,4,4,1,3,2,3,2,3,4,4,4,2,7.5,72.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1980.0,2,1,3,1,1,1,1,2,4,3,3,4,3,3,2,20.0,72.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1984.0,2,1,3,1,1,1,1,2,4,2,3,4,3,3,2,6.0,24.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1980.0,2,1,3,1,1,1,1,2,4,3,3,4,3,3,2,100.0,360.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1985.0,2,1,3,1,1,1,1,2,4,1,3,2,3,3,2,11.3,36.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1980.0,2,1,3,1,1,3,1,2,3,2,2,1,3,3,2,100.0,215.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1983.0,2,1,3,1,1,1,1,2,4,2,3,4,3,3,2,20.0,48.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1982.0,2,1,3,1,1,1,1,2,2,1,3,1,3,3,2,100.0,360.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1980.0,2,1,3,1,4,1,1,2,4,3,3,4,3,3,2,150.0,324.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1984.0,2,1,3,1,1,1,1,2,3,2,3,4,3,3,2,31.5,60.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1983.0,2,1,3,1,1,1,1,2,4,2,3,4,3,3,2,15.0,48.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1984.0,2,1,3,1,4,1,1,2,3,1,3,4,3,3,2,32.5,60.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1985.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,19.7,60.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
1985.0,3,1,3,1,1,1,1,1,2,1,3,4,4,3,1,66.6,300.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
