Actual,SVR_Predicted,RF_Predicted,SVR_Absolute_Error,RF_Absolute_Error,SVR_Error_Calculated,RF_Error_Calculated,SVR_Abs_Error_Calculated,RF_Abs_Error_Calculated
117.6,70.66071097614963,105.04970000000014,46.93928902385037,12.55029999999985,46.939289023850364,12.55029999999985,46.939289023850364,12.55029999999985
117.6,56.688687320866165,120.80328120441038,60.91131267913383,3.203281204410388,60.91131267913383,-3.2032812044103878,60.91131267913383,3.2032812044103878
31.2,22.087735674789656,109.87523294747126,9.112264325210344,78.67523294747126,9.112264325210344,-78.67523294747126,9.112264325210344,78.67523294747126
36.0,45.27083274386575,42.91324678026809,9.270832743865752,6.913246780268089,-9.270832743865753,-6.913246780268089,9.270832743865753,6.913246780268089
25.2,36.371455231869504,51.30836666666666,11.171455231869505,26.108366666666665,-11.171455231869505,-26.108366666666658,11.171455231869505,26.108366666666658
8.4,24.436543730630547,13.439999999999998,16.036543730630548,5.039999999999997,-16.036543730630548,-5.039999999999997,16.036543730630548,5.039999999999997
10.8,37.14000483293216,41.60325731417863,26.340004832932163,30.803257314178627,-26.340004832932163,-30.803257314178627,26.340004832932163,30.803257314178627
352.8,168.0972564439203,382.1801114801745,184.70274355607967,29.380111480174435,184.70274355607972,-29.38011148017449,184.70274355607972,29.38011148017449
72.0,491.8493317946409,1628.0689687079432,419.8493317946409,1556.0689687079432,-419.8493317946409,-1556.0689687079432,419.8493317946409,1556.0689687079432
72.0,93.19478337901307,82.14066666666666,21.194783379013074,10.14066666666666,-21.194783379013074,-10.140666666666661,21.194783379013074,10.140666666666661
24.0,23.285834929074326,21.838,0.7141650709256737,2.161999999999999,0.7141650709256737,2.161999999999999,0.7141650709256737,2.161999999999999
360.0,244.4053718946933,382.3413333333333,115.5946281053067,22.341333333333296,115.5946281053067,-22.341333333333296,115.5946281053067,22.341333333333296
36.0,95.81054174172176,62.373584615384615,59.81054174172175,26.373584615384612,-59.810541741721764,-26.373584615384615,59.810541741721764,26.373584615384615
215.0,334.0177527733357,406.76357423184015,119.0177527733357,191.76357423184012,-119.0177527733357,-191.76357423184015,119.0177527733357,191.76357423184015
48.0,45.53187467099736,152.9054088579977,2.468125329002646,104.90540885799771,2.468125329002639,-104.90540885799771,2.468125329002639,104.90540885799771
360.0,227.66073367428407,427.37733333333335,132.33926632571593,67.37733333333335,132.33926632571593,-67.37733333333335,132.33926632571593,67.37733333333335
324.0,414.2022296930397,628.068,90.20222969303973,304.068,-90.20222969303973,-304.068,90.20222969303973,304.068
60.0,97.44125955663948,118.78104679658787,37.441259556639466,58.78104679658789,-37.44125955663948,-58.78104679658787,37.44125955663948,58.78104679658787
48.0,36.84471651930448,56.63477942057943,11.155283480695516,8.634779420579427,11.155283480695523,-8.634779420579427,11.155283480695523,8.634779420579427
60.0,122.91707867207708,185.22819548380096,62.91707867207708,125.22819548380096,-62.91707867207708,-125.22819548380096,62.91707867207708,125.22819548380096
60.0,53.27688379896392,105.91646642127512,6.723116201036078,45.91646642127513,6.723116201036078,-45.91646642127512,6.723116201036078,45.91646642127512
300.0,147.48947182812572,143.20470133644764,152.51052817187428,156.79529866355236,152.51052817187428,156.79529866355236,152.51052817187428,156.79529866355236
120.0,66.33878588784796,99.78382423132425,53.66121411215204,20.216175768675757,53.66121411215204,20.216175768675754,53.66121411215204,20.216175768675754
90.0,180.19772983958703,165.6170676357698,90.19772983958704,75.61706763576981,-90.19772983958703,-75.61706763576981,90.19772983958703,75.61706763576981
210.0,138.46279098904802,144.36370964710594,71.53720901095198,65.63629035289406,71.53720901095198,65.63629035289406,71.53720901095198,65.63629035289406
48.0,34.1482261312126,46.55685970135286,13.851773868787404,1.4431402986471369,13.851773868787397,1.4431402986471369,13.851773868787397,1.4431402986471369
70.0,182.84411090686197,87.95162496392497,112.84411090686194,17.95162496392497,-112.84411090686197,-17.95162496392497,112.84411090686197,17.95162496392497
239.0,136.81310938510342,401.6962729320987,102.18689061489658,162.69627293209868,102.18689061489658,-162.69627293209868,102.18689061489658,162.69627293209868
82.0,184.30525419821825,94.63029163059164,102.30525419821822,12.630291630591644,-102.30525419821825,-12.630291630591643,102.30525419821825,12.630291630591643
62.0,105.84101967716458,195.66427518621404,43.84101967716458,133.66427518621404,-43.84101967716458,-133.66427518621404,43.84101967716458,133.66427518621404
170.0,129.96810513554,229.53552380952385,40.031894864460014,59.53552380952385,40.031894864460014,-59.53552380952385,40.031894864460014,59.53552380952385
192.0,177.91090704102214,233.3981904761905,14.089092958977858,41.39819047619051,14.089092958977858,-41.39819047619051,14.089092958977858,41.39819047619051
18.0,39.11976414235869,92.92751578306375,21.11976414235869,74.92751578306377,-21.11976414235869,-74.92751578306375,21.11976414235869,74.92751578306375
50.0,81.02768063666792,36.31281904761904,31.027680636667924,13.687180952380965,-31.027680636667924,13.687180952380963,31.027680636667924,13.687180952380963
60.0,87.59481250382964,57.77683809523808,27.594812503829644,2.223161904761916,-27.594812503829644,2.2231619047619233,27.594812503829644,2.2231619047619233
42.0,96.505707861696,22.9685,54.50570786169601,19.0315,-54.505707861695996,19.0315,54.505707861695996,19.0315
60.0,43.823982909332585,70.78647126173264,16.176017090667415,10.786471261732643,16.176017090667415,-10.786471261732643,16.176017090667415,10.786471261732643
444.0,214.831990237964,204.48099905856049,229.16800976203604,239.51900094143951,229.168009762036,239.51900094143951,229.168009762036,239.51900094143951
42.0,35.18170974946156,44.9604900432332,6.818290250538439,2.9604900432332,6.818290250538439,-2.9604900432332,6.818290250538439,2.9604900432332
114.0,32.15187002116795,78.05460115440115,81.84812997883205,35.945398845598845,81.84812997883205,35.945398845598845,81.84812997883205,35.945398845598845
1248.0,362.5768427223072,640.03,885.4231572776928,607.97,885.4231572776928,607.97,885.4231572776928,607.97
2400.0,962.3042817924756,1468.3743445543569,1437.6957182075244,931.6256554456432,1437.6957182075244,931.6256554456431,1437.6957182075244,931.6256554456431
1368.0,681.4733684138861,1273.47,686.5266315861139,94.52999999999996,686.5266315861139,94.52999999999997,686.5266315861139,94.52999999999997
973.0,1214.644232348349,1506.766601381473,241.64423234834908,533.766601381473,-241.64423234834908,-533.766601381473,241.64423234834908,533.766601381473
400.0,469.434731968498,392.59696767676775,69.434731968498,7.403032323232253,-69.434731968498,7.403032323232253,69.434731968498,7.403032323232253
2400.0,885.1845996757684,1350.8539999999996,1514.8154003242316,1049.1460000000004,1514.8154003242316,1049.1460000000004,1514.8154003242316,1049.1460000000004
420.0,689.9097515657652,935.7937788744828,269.9097515657652,515.7937788744828,-269.9097515657652,-515.7937788744828,269.9097515657652,515.7937788744828
252.0,246.5157338083413,355.3180000000001,5.484266191658662,103.3180000000001,5.484266191658691,-103.3180000000001,5.484266191658691,103.3180000000001
107.0,406.0980921829031,656.1833816958035,299.0980921829031,549.1833816958035,-299.0980921829031,-549.1833816958035,299.0980921829031,549.1833816958035
571.4,323.80007070311,392.63400000000007,247.59992929689,178.7659999999999,247.59992929688997,178.7659999999999,247.59992929688997,178.7659999999999
98.8,336.21153267514666,237.36946326093,237.41153267514665,138.56946326093004,-237.41153267514665,-138.56946326092998,237.41153267514665,138.56946326092998
155.0,413.02265918899934,400.5088805186128,258.02265918899934,245.5088805186128,-258.02265918899934,-245.50888051861278,258.02265918899934,245.50888051861278
750.0,578.6762632609755,535.3618597254654,171.32373673902453,214.63814027453463,171.32373673902453,214.63814027453463,171.32373673902453,214.63814027453463
2120.0,648.5562760712562,825.2968582735346,1471.4437239287438,1294.7031417264654,1471.4437239287438,1294.7031417264654,1471.4437239287438,1294.7031417264654
370.0,512.5766751296201,332.6697712780079,142.57667512962007,37.330228721992114,-142.57667512962007,37.330228721992114,142.57667512962007,37.330228721992114
1181.0,843.3817361348724,2506.6940000000004,337.6182638651276,1325.6940000000004,337.6182638651276,-1325.6940000000004,337.6182638651276,1325.6940000000004
278.0,239.53557258641013,476.9834196128348,38.464427413589874,198.9834196128348,38.464427413589874,-198.98341961283478,38.464427413589874,198.98341961283478
8.4,11.97791117953443,92.92751578306375,3.5779111795344303,84.52751578306376,-3.5779111795344303,-84.52751578306375,3.5779111795344303,84.52751578306375
4560.0,916.9544728684656,2206.777589265201,3643.045527131535,2353.222410734799,3643.0455271315345,2353.222410734799,3643.0455271315345,2353.222410734799
720.0,976.803492675002,1454.3418159829284,256.8034926750021,734.3418159829284,-256.80349267500196,-734.3418159829284,256.80349267500196,734.3418159829284
458.0,808.6374724381308,826.6596644304044,350.6374724381308,368.6596644304044,-350.63747243813077,-368.6596644304044,350.63747243813077,368.6596644304044
2460.0,1113.342525152374,1527.0024237576154,1346.657474847626,932.9975762423846,1346.657474847626,932.9975762423846,1346.657474847626,932.9975762423846
162.0,552.387925441086,484.4348666666668,390.38792544108605,322.4348666666668,-390.38792544108605,-322.4348666666668,390.38792544108605,322.4348666666668
150.0,113.07379134537985,364.9362711645822,36.92620865462016,214.9362711645822,36.926208654620154,-214.9362711645822,36.926208654620154,214.9362711645822
